gamification-muscle  | 2026/04/01 11:15:01 [b222619c2c5a/HJdwzLOOta-000021] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 6.849265ms
gamification-muscle  | 2026/04/01 11:15:04 [b222619c2c5a/HJdwzLOOta-000022] "GET http://localhost/api/v1/auth/me HTTP/1.0" from 172.22.0.1 - 200 196B in 148.293µs
gamification-muscle  | 2026/04/01 11:15:04 [b222619c2c5a/HJdwzLOOta-000023] "GET http://localhost/api/v1/analytics/activity?limit=10 HTTP/1.0" from 172.22.0.1 - 200 1622B in 1.894853ms
gamification-muscle  | 2026/04/01 11:15:04 [b222619c2c5a/HJdwzLOOta-000025] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 7.69604ms
gamification-muscle  | 2026/04/01 11:15:04 [b222619c2c5a/HJdwzLOOta-000024] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 8.71344ms
gamification-muscle  | 2026/04/01 11:15:05 [b222619c2c5a/HJdwzLOOta-000026] "GET http://localhost/api/v1/analytics/points-history?period=month HTTP/1.0" from 172.22.0.1 - 500 43B in 8.148217ms
gamification-muscle  | 2026/04/01 11:15:05 [b222619c2c5a/HJdwzLOOta-000027] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 9.163317ms
gamification-muscle  | 2026/04/01 11:15:06 [b222619c2c5a/HJdwzLOOta-000028] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 8.05727ms
gamification-muscle  | 2026/04/01 11:15:07 [b222619c2c5a/HJdwzLOOta-000029] "GET http://localhost/api/v1/analytics/summary HTTP/1.0" from 172.22.0.1 - 200 143B in 6.809502ms
gamification-muscle  | 2026/04/01 11:15:07 [b222619c2c5a/HJdwzLOOta-000031] "GET http://localhost/api/v1/rules HTTP/1.0" from 172.22.0.1 - 200 1101B in 1.410411ms
gamification-muscle  | 2026/04/01 11:15:07 [b222619c2c5a/HJdwzLOOta-000030] "GET http://localhost/api/v1/event-types HTTP/1.0" from 172.22.0.1 - 200 1385B in 2.620357ms
gamification-muscle  | 2026/04/01 11:15:11 [b222619c2c5a/HJdwzLOOta-000032] "GET http://localhost/api/v1/users HTTP/1.0" from 172.22.0.1 - 200 7636B in 2.949516ms
gamification-muscle  | 2026/04/01 11:15:12 [b222619c2c5a/HJdwzLOOta-000033] "GET http://localhost/api/v1/badges HTTP/1.0" from 172.22.0.1 - 200 24B in 1.722324ms
gamification-muscle  | 2026/04/01 11:15:13 [b222619c2c5a/HJdwzLOOta-000036] "GET http://localhost/api/v1/leaderboard?limit=10 HTTP/1.0" from 172.22.0.1 - 200 97B in 485.113µs
